Tamaño del archivo, Tiempo de Compresion(s), Tiempo de Decompresion(s)
100KB,0.599594,0.0010009
300KB,13.344,0
500KB,35.5154,0.0156262
800KB,99.1549,0.015686
1MB,154.08,0
100KB,0.535353,0
300KB,13.761,0
500KB,49.8003,0
800KB,119.134,0.0158066
1MB,167.045,0.0070109
100KB,0.531581,0
300KB,14.17,0
500KB,38.6697,0
800KB,119.666,0
1MB,162.931,0.0157639
100KB,0.612748,0
300KB,14.2881,0
500KB,36.4116,0
800KB,99.0219,0
1MB,150.383,0.0155191
100KB,0.499099,0
300KB,13.2149,0
500KB,35.4862,0
800KB,99.2606,0
1MB,150.506,0.0156963
100KB,0.505149,0
300KB,13.285,0
500KB,35.5,0.0156436
800KB,99.1761,0
1MB,150.461,0
100KB,0.517947,0
300KB,13.2037,0
500KB,35.6582,0
800KB,111.828,0.0156211
1MB,160.503,0.0156128
100KB,0.552493,0
300KB,14.0343,0
500KB,37.9667,0
800KB,107.672,0
1MB,164.169,0
100KB,0.658379,0
300KB,15.9073,0
500KB,39.4009,0
800KB,117.155,0
1MB,158.074,0.0156263
100KB,0.499461,0
300KB,13.2383,0
500KB,35.6721,0
800KB,99.0454,0.0050073
1MB,151.025,0
100KB,0.515636,0
300KB,13.7852,0
500KB,35.5937,0
800KB,99.0907,0.0158628
1MB,150.602,0
100KB,0.51691,0
300KB,13.245,0
500KB,35.5775,0
800KB,99.1509,0
1MB,150.65,0
100KB,0.499662,0
300KB,13.2358,0
500KB,35.5453,0.0156261
800KB,99.1008,0
1MB,150.969,0
100KB,0.49983,0
300KB,13.2396,0
500KB,35.5736,0.0020004
800KB,99.1507,0
1MB,150.604,0
100KB,0.516407,0
300KB,13.2384,0.0156262
500KB,35.5545,0
800KB,103.082,0
1MB,157.006,0
100KB,0.499497,0
300KB,13.2461,0
500KB,35.5642,0
800KB,99.1526,0.0013719
1MB,150.965,0
100KB,0.501614,0
300KB,13.2519,0.015626
500KB,35.5625,0
800KB,99.1828,0
1MB,150.986,0
100KB,0.513892,0
300KB,13.2667,0.0010002
500KB,35.5498,0
800KB,99.1935,0
1MB,162.813,0
100KB,0.58149,0
300KB,13.8147,0
500KB,36.2132,0
800KB,100.27,0
1MB,151.493,0.0095219
100KB,0.52521,0
300KB,13.3397,0
500KB,36.0895,0
800KB,99.1438,0.0039945
1MB,150.631,0
