Tamaño del archivo, Tiempo de Codificacion(s), Tiempo de Decodificacion(s)
100KB,0.0159572,0.0588429
300KB,0.0618345,0.167579
500KB,0.0757701,0.280251
800KB,0.123545,0.469817
1MB,0.157931,0.598878
100KB,0.0169547,0.0588433
300KB,0.047899,0.167552
500KB,0.0767648,0.275297
800KB,0.124191,0.475789
1MB,0.161568,0.603946
100KB,0.015961,0.0578782
300KB,0.0458725,0.17052
500KB,0.0797867,0.28627
800KB,0.123718,0.466725
1MB,0.157606,0.589961
100KB,0.0159548,0.0588145
300KB,0.0466041,0.170038
500KB,0.0767956,0.279253
800KB,0.123669,0.460796
1MB,0.155611,0.588399
100KB,0.0159278,0.0588424
300KB,0.0458776,0.168552
500KB,0.0768195,0.277259
800KB,0.122672,0.461844
1MB,0.155557,0.587076
100KB,0.0156646,0.0588696
300KB,0.0463558,0.168084
500KB,0.0767951,0.276265
800KB,0.123697,0.461493
1MB,0.156267,0.586283
100KB,0.0159419,0.058349
300KB,0.0469031,0.170023
500KB,0.0777927,0.278254
800KB,0.12367,0.464326
1MB,0.156573,0.599481
100KB,0.0159601,0.0588421
300KB,0.0468747,0.167553
500KB,0.0777629,0.274269
800KB,0.123696,0.462726
1MB,0.155816,0.585909
100KB,0.0159578,0.0578453
300KB,0.0458774,0.167525
500KB,0.0767953,0.273771
800KB,0.123457,0.463822
1MB,0.156578,0.58843
100KB,0.016954,0.0578757
300KB,0.0468749,0.171514
500KB,0.0759295,0.275846
800KB,0.124712,0.468229
1MB,0.156582,0.58935
100KB,0.0169549,0.0578472
300KB,0.0469149,0.168399
500KB,0.0760655,0.277973
800KB,0.12397,0.465643
1MB,0.160543,0.590448
100KB,0.0159944,0.0588089
300KB,0.0467553,0.167553
500KB,0.0773863,0.286049
800KB,0.123697,0.464757
1MB,0.156554,0.59198
100KB,0.0159572,0.0598404
300KB,0.0478711,0.167584
500KB,0.076407,0.280277
800KB,0.123671,0.461736
1MB,0.156611,0.586433
100KB,0.0159557,0.0588447
300KB,0.0468445,0.16758
500KB,0.0757984,0.285628
800KB,0.123981,0.467265
1MB,0.156583,0.584435
100KB,0.0159282,0.058842
300KB,0.0469316,0.17005
500KB,0.0777869,0.275533
800KB,0.123663,0.462763
1MB,0.157552,0.58523
100KB,0.0159571,0.0578732
300KB,0.0468737,0.170544
500KB,0.0817543,0.274266
800KB,0.124695,0.462535
1MB,0.157582,0.584434
100KB,0.0159582,0.0588418
300KB,0.0468751,0.167064
500KB,0.0777595,0.279312
800KB,0.124445,0.46678
1MB,0.156554,0.593847
100KB,0.0169546,0.0578718
300KB,0.0459043,0.167701
500KB,0.0768265,0.279141
800KB,0.123942,0.462973
1MB,0.157579,0.587405
100KB,0.0159861,0.0588126
300KB,0.0463555,0.166898
500KB,0.0777643,0.277287
800KB,0.124669,0.466722
1MB,0.164563,0.613112
100KB,0.0159876,0.0603998
300KB,0.0478721,0.1739
500KB,0.0778758,0.290031
800KB,0.124984,0.472287
1MB,0.155726,0.587855
